"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;0.000276382;-9.62774e-13;-4.60165e-11
-2e+11;0.000276382;-9.87303e-10;-1.80709e-10
-1.5e+11;0.000276382;-4.04404e-08;3.44172e-08
-1e+11;0.000276382;2.08419e-07;2.44763e-06
-5e+10;0.000276382;-0.000737865;-0.000422017
0;0.000276382;-1.01409e-19;0
5e+10;0.000276382;-0.000737865;0.000422017
1e+11;0.000276382;2.08419e-07;-2.44763e-06
1.5e+11;0.000276382;-4.04404e-08;-3.44172e-08
2e+11;0.000276382;-9.87303e-10;1.80709e-10
2.5e+11;0.000276382;-9.62774e-13;4.60165e-11
-2.5e+11;0.00029598;-1.37225e-12;-6.47585e-11
-2e+11;0.00029598;-1.30071e-09;-2.38866e-10
-1.5e+11;0.00029598;-4.97181e-08;4.22722e-08
-1e+11;0.00029598;2.3944e-07;2.80792e-06
-5e+10;0.00029598;-0.000790143;-0.000451926
0;0.00029598;4.36401e-20;0
5e+10;0.00029598;-0.000790143;0.000451926
1e+11;0.00029598;2.3944e-07;-2.80792e-06
1.5e+11;0.00029598;-4.97181e-08;-4.22722e-08
2e+11;0.00029598;-1.30071e-09;2.38866e-10
2.5e+11;0.00029598;-1.37225e-12;6.47585e-11
-2.5e+11;0.000315578;-1.92519e-12;-8.91614e-11
-2e+11;0.000315578;-1.68396e-09;-3.10348e-10
-1.5e+11;0.000315578;-6.03281e-08;5.12404e-08
-1e+11;0.000315578;2.727e-07;3.19313e-06
-5e+10;0.000315578;-0.000842412;-0.000481832
0;0.000315578;-6.42242e-22;0
5e+10;0.000315578;-0.000842412;0.000481832
1e+11;0.000315578;2.727e-07;-3.19313e-06
1.5e+11;0.000315578;-6.03281e-08;-5.12404e-08
2e+11;0.000315578;-1.68396e-09;3.10348e-10
2.5e+11;0.000315578;-1.92519e-12;8.91614e-11
-2.5e+11;0.000335176;-2.66436e-12;-1.20422e-10
-2e+11;0.000335176;-2.14695e-09;-3.97179e-10
-1.5e+11;0.000335176;-7.23637e-08;6.1396e-08
-1e+11;0.000335176;3.08224e-07;3.60332e-06
-5e+10;0.000335176;-0.000894672;-0.000511735
0;0.000335176;-5.29367e-20;0
5e+10;0.000335176;-0.000894672;0.000511735
1e+11;0.000335176;3.08224e-07;-3.60332e-06
1.5e+11;0.000335176;-7.23637e-08;-6.1396e-08
2e+11;0.000335176;-2.14695e-09;3.97179e-10
2.5e+11;0.000335176;-2.66436e-12;1.20422e-10
-2.5e+11;0.000354774;-3.64353e-12;-1.59896e-10
-2e+11;0.000354774;-2.70032e-09;-5.01565e-10
-1.5e+11;0.000354774;-8.59193e-08;7.28134e-08
-1e+11;0.000354774;3.46035e-07;4.03855e-06
-5e+10;0.000354774;-0.000946922;-0.000541634
0;0.000354774;-8.94315e-20;0
5e+10;0.000354774;-0.000946922;0.000541634
1e+11;0.000354774;3.46035e-07;-4.03855e-06
1.5e+11;0.000354774;-8.59193e-08;-7.28134e-08
2e+11;0.000354774;-2.70032e-09;5.01565e-10
2.5e+11;0.000354774;-3.64353e-12;1.59896e-10
-2.5e+11;0.000374372;-4.9296e-12;-2.0911e-10
-2e+11;0.000374372;-3.35547e-09;-6.25914e-10
-1.5e+11;0.000374372;-1.01091e-07;8.5567e-08
-1e+11;0.000374372;3.86157e-07;4.49888e-06
-5e+10;0.000374372;-0.000999162;-0.000571531
0;0.000374372;-2.78387e-20;0
5e+10;0.000374372;-0.000999162;0.000571531
1e+11;0.000374372;3.86157e-07;-4.49888e-06
1.5e+11;0.000374372;-1.01091e-07;-8.5567e-08
2e+11;0.000374372;-3.35547e-09;6.25914e-10
2.5e+11;0.000374372;-4.9296e-12;2.0911e-10
-2.5e+11;0.00039397;-6.60514e-12;-2.69771e-10
-2e+11;0.00039397;-4.12457e-09;-7.72841e-10
-1.5e+11;0.00039397;-1.17974e-07;9.97315e-08
-1e+11;0.00039397;4.28617e-07;4.98438e-06
-5e+10;0.00039397;-0.00105139;-0.000601423
0;0.00039397;8.32193e-20;0
5e+10;0.00039397;-0.00105139;0.000601423
1e+11;0.00039397;4.28617e-07;-4.98438e-06
1.5e+11;0.00039397;-1.17974e-07;-9.97315e-08
2e+11;0.00039397;-4.12457e-09;7.72841e-10
2.5e+11;0.00039397;-6.60514e-12;2.69771e-10
-2.5e+11;0.000413568;-8.77107e-12;-3.4378e-10
-2e+11;0.000413568;-5.02061e-09;-9.45188e-10
-1.5e+11;0.000413568;-1.36667e-07;1.15382e-07
-1e+11;0.000413568;4.73442e-07;5.49512e-06
-5e+10;0.000413568;-0.00110361;-0.000631312
0;0.000413568;1.7484e-19;0
5e+10;0.000413568;-0.00110361;0.000631312
1e+11;0.000413568;4.73442e-07;-5.49512e-06
1.5e+11;0.000413568;-1.36667e-07;-1.15382e-07
