# Logfile created on 2025-09-01 14:28:35 +0200 by logger.rb/v1.4.3
2025-09-01 14:28:35 +0200: Memory Usage (438172K) : nldb_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438172K) : digibnd_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : via1_drw has 11698 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_mask has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438428K) : backmetal1_filler has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_nofill has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_slit has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438684K) : backmetal1_res has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : backmetal1_iprobe has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : backmetal1_diffprb has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : backpassiv_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : res_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : sram_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : trans_drw has 1 polygons
2025-09-01 14:28:35 +0200: Memory Usage (438940K) : ind_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439196K) : ind_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439196K) : ind_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439196K) : salblock_drw has 3 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : via2_drw has 22878 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_drw has 1181 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_mask has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_filler has 5671 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_nofill has 15 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_slit has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_noqrc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_res has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (439964K) : metal3_iprobe has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440220K) : metal3_diffprb has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440220K) : nwell_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440220K) : nwell_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440220K) : nbulay_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440220K) : nbulay_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440220K) : nbulay_block has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440476K) : emwind_drw has 10 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440476K) : emwind_opc has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440476K) : deepco_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440476K) : deepco_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440476K) : mim_drw has 7 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440476K) : edgeseal_drw has 24 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : edgeseal_bound has 1 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : substrate_drw has 10 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : substrate_text has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : dfpad_drw has 9 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : dfpad_pillar has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : dfpad_sbump has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440732K) : thickgateox_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440988K) : pldb_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440988K) : pwell_drw has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440988K) : pwell_pin has 0 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440988K) : pwell_block has 4 polygons
2025-09-01 14:28:35 +0200: Memory Usage (440988K) : ic_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : via3_drw has 77068 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_drw has 184 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_mask has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_filler has 9727 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_nofill has 15 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_slit has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_text has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_opc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_noqrc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_res has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_iprobe has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : metal4_diffprb has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : heattrans_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : heatres_drw has 3 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : pempoly_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : fbe_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : empoly_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : ldmos_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : pbiwind_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : digisub_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442372K) : nodrc_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (442628K) : text_drw has 20 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : via4_drw has 77068 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_drw has 202 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_pin has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_mask has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_filler has 9727 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_nofill has 15 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_slit has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_text has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_opc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_noqrc has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_res has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_iprobe has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : metal5_diffprb has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : radhard_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : memcap_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : varicap_drw has 0 polygons
2025-09-01 14:28:36 +0200: Memory Usage (443652K) : flash_drw has 0 polygons
