"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
-5e+10;0.000256784;-4.16101e-20;0.000128392
0;0.000256784;4.68802e-21;0
5e+10;0.000256784;-4.16101e-20;-0.000128392
1e+11;0.000256784;1.99351e-21;-2.39676e-20
1.5e+11;0.000256784;1.36896e-20;-3.26225e-20
2e+11;0.000256784;1.32414e-20;-7.07148e-21
2.5e+11;0.000256784;8.69888e-21;3.62068e-21
-2.5e+11;0.000276382;1.30517e-20;-1.60437e-21
-2e+11;0.000276382;1.25445e-20;-1.94218e-21
-1.5e+11;0.000276382;1.13729e-20;3.91986e-20
-1e+11;0.000276382;7.73349e-21;8.92344e-21
-5e+10;0.000276382;-4.35721e-20;0.000138191
0;0.000276382;-4.68915e-21;0
5e+10;0.000276382;-4.35721e-20;-0.000138191
1e+11;0.000276382;7.73349e-21;-8.92344e-21
1.5e+11;0.000276382;1.13729e-20;-3.91986e-20
2e+11;0.000276382;1.25445e-20;1.94218e-21
2.5e+11;0.000276382;1.30517e-20;1.60437e-21
-2.5e+11;0.00029598;1.07745e-20;9.4647e-21
-2e+11;0.00029598;1.72916e-20;2.4812e-20
-1.5e+11;0.00029598;1.36026e-20;2.35395e-20
-1e+11;0.00029598;3.97168e-21;5.80766e-21
-5e+10;0.00029598;-4.87158e-20;0.00014799
0;0.00029598;4.49054e-21;0
5e+10;0.00029598;-4.87158e-20;-0.00014799
1e+11;0.00029598;3.97168e-21;-5.80766e-21
1.5e+11;0.00029598;1.36026e-20;-2.35395e-20
2e+11;0.00029598;1.72916e-20;-2.4812e-20
2.5e+11;0.00029598;1.07745e-20;-9.4647e-21
-2.5e+11;0.000315578;1.92419e-20;3.47875e-21
-2e+11;0.000315578;1.11075e-20;3.32529e-21
-1.5e+11;0.000315578;9.93332e-21;7.59946e-21
-1e+11;0.000315578;4.51334e-21;1.26123e-20
-5e+10;0.000315578;-4.7556e-20;0.000157789
0;0.000315578;3.04282e-21;0
5e+10;0.000315578;-4.7556e-20;-0.000157789
1e+11;0.000315578;4.51334e-21;-1.26123e-20
1.5e+11;0.000315578;9.93332e-21;-7.59946e-21
2e+11;0.000315578;1.11075e-20;-3.32529e-21
2.5e+11;0.000315578;1.92419e-20;-3.47875e-21
-2.5e+11;0.000335176;8.22906e-21;-6.8496e-21
-2e+11;0.000335176;1.99895e-20;-8.76989e-21
-1.5e+11;0.000335176;1.16303e-20;1.2655e-20
-1e+11;0.000335176;5.73052e-21;1.63635e-20
-5e+10;0.000335176;-4.93857e-20;0.000167588
0;0.000335176;-7.04712e-22;0
5e+10;0.000335176;-4.93857e-20;-0.000167588
1e+11;0.000335176;5.73052e-21;-1.63635e-20
1.5e+11;0.000335176;1.16303e-20;-1.2655e-20
2e+11;0.000335176;1.99895e-20;8.76989e-21
2.5e+11;0.000335176;8.22906e-21;6.8496e-21
-2.5e+11;0.000354774;6.96526e-21;9.40645e-21
-2e+11;0.000354774;2.56385e-20;7.36791e-21
-1.5e+11;0.000354774;1.56267e-20;9.57416e-21
-1e+11;0.000354774;3.95973e-21;2.03585e-20
-5e+10;0.000354774;-5.40319e-20;0.000177387
0;0.000354774;-3.68608e-21;0
5e+10;0.000354774;-5.40319e-20;-0.000177387
1e+11;0.000354774;3.95973e-21;-2.03585e-20
1.5e+11;0.000354774;1.56267e-20;-9.57416e-21
2e+11;0.000354774;2.56385e-20;-7.36791e-21
2.5e+11;0.000354774;6.96526e-21;-9.40645e-21
-2.5e+11;0.000374372;1.73648e-20;7.81497e-22
-2e+11;0.000374372;2.0441e-20;1.04484e-20
-1.5e+11;0.000374372;1.62137e-20;2.57573e-20
-1e+11;0.000374372;4.17676e-21;2.02376e-20
-5e+10;0.000374372;-6.13099e-20;0.000187186
0;0.000374372;2.94107e-21;0
5e+10;0.000374372;-6.13099e-20;-0.000187186
1e+11;0.000374372;4.17676e-21;-2.02376e-20
1.5e+11;0.000374372;1.62137e-20;-2.57573e-20
2e+11;0.000374372;2.0441e-20;-1.04484e-20
2.5e+11;0.000374372;1.73648e-20;-7.81497e-22
-2.5e+11;0.00039397;1.46352e-20;-7.1871e-21
-2e+11;0.00039397;1.85445e-20;1.48239e-20
-1.5e+11;0.00039397;1.26495e-20;1.37553e-20
-1e+11;0.00039397;2.00029e-20;-2.01266e-20
-5e+10;0.00039397;-6.24713e-20;0.000196985
0;0.00039397;-7.56414e-21;0
5e+10;0.00039397;-6.24713e-20;-0.000196985
1e+11;0.00039397;2.00029e-20;2.01266e-20
1.5e+11;0.00039397;1.26495e-20;-1.37553e-20
2e+11;0.00039397;1.85445e-20;-1.48239e-20
2.5e+11;0.00039397;1.46352e-20;7.1871e-21
-2.5e+11;0.000413568;3.88544e-21;1.97656e-20
-2e+11;0.000413568;2.78511e-20;2.21783e-20
-1.5e+11;0.000413568;3.07216e-20;1.02812e-20
-1e+11;0.000413568;6.63965e-21;7.19436e-21
-5e+10;0.000413568;-7.15816e-20;0.000206784
0;0.000413568;-1.68376e-21;0
5e+10;0.000413568;-7.15816e-20;-0.000206784
1e+11;0.000413568;6.63965e-21;-7.19436e-21
1.5e+11;0.000413568;3.07216e-20;-1.02812e-20
2e+11;0.000413568;2.78511e-20;-2.21783e-20
2.5e+11;0.000413568;3.88544e-21;-1.97656e-20
-2.5e+11;0.000433166;2.70376e-20;5.84661e-21
-2e+11;0.000433166;1.78239e-20;7.78647e-21
-1.5e+11;0.000433166;1.46842e-20;3.85565e-20
-1e+11;0.000433166;1.54109e-21;2.22973e-21
-5e+10;0.000433166;-7.13779e-20;0.000216583
0;0.000433166;1.48286e-20;0
5e+10;0.000433166;-7.13779e-20;-0.000216583
1e+11;0.000433166;1.54109e-21;-2.22973e-21
1.5e+11;0.000433166;1.46842e-20;-3.85565e-20
2e+11;0.000433166;1.78239e-20;-7.78647e-21
2.5e+11;0.000433166;2.70376e-20;-5.84661e-21
-2.5e+11;0.000452764;-1.51329e-22;5.79747e-21
-2e+11;0.000452764;3.37348e-20;1.93677e-21
-1.5e+11;0.000452764;1.48487e-20;2.94561e-20
-1e+11;0.000452764;1.27469e-20;3.29514e-20
-5e+10;0.000452764;-6.22567e-20;0.000226382
0;0.000452764;-2.77481e-21;0
5e+10;0.000452764;-6.22567e-20;-0.000226382
1e+11;0.000452764;1.27469e-20;-3.29514e-20
1.5e+11;0.000452764;1.48487e-20;-2.94561e-20
2e+11;0.000452764;3.37348e-20;-1.93677e-21
2.5e+11;0.000452764;-1.51329e-22;-5.79747e-21
-2.5e+11;0.000472362;2.90423e-20;-9.78444e-22
-2e+11;0.000472362;2.61708e-20;-3.41018e-23
-1.5e+11;0.000472362;1.45753e-20;2.8721e-20
-1e+11;0.000472362;3.95575e-22;3.35734e-20
-5e+10;0.000472362;-7.62864e-20;0.000236181
0;0.000472362;7.27705e-21;0
5e+10;0.000472362;-7.62864e-20;-0.000236181
1e+11;0.000472362;3.95575e-22;-3.35734e-20
1.5e+11;0.000472362;1.45753e-20;-2.8721e-20
2e+11;0.000472362;2.61708e-20;3.41018e-23
2.5e+11;0.000472362;2.90423e-20;9.78444e-22
-2.5e+11;0.00049196;2.2298e-20;4.19182e-21
-2e+11;0.00049196;2.79371e-20;9.26513e-22
-1.5e+11;0.00049196;1.75549e-21;3.23189e-20
-1e+11;0.00049196;8.20327e-21;2.80793e-20
-5e+10;0.00049196;-6.43889e-20;0.00024598
0;0.00049196;2.42275e-21;0
5e+10;0.00049196;-6.43889e-20;-0.00024598
1e+11;0.00049196;8.20327e-21;-2.80793e-20
1.5e+11;0.00049196;1.75549e-21;-3.23189e-20
2e+11;0.00049196;2.79371e-20;-9.26513e-22
2.5e+11;0.00049196;2.2298e-20;-4.19182e-21
-2.5e+11;0.000511558;1.65898e-20;4.29828e-22
-2e+11;0.000511558;3.52645e-20;6.27361e-21
-1.5e+11;0.000511558;1.40002e-20;2.43431e-20
-1e+11;0.000511558;1.20268e-20;8.6428e-21
-5e+10;0.000511558;-7.57392e-20;0.000255779
0;0.000511558;-1.22212e-20;0
5e+10;0.000511558;-7.57392e-20;-0.000255779
1e+11;0.000511558;1.20268e-20;-8.6428e-21
1.5e+11;0.000511558;1.40002e-20;-2.43431e-20
2e+11;0.000511558;3.52645e-20;-6.27361e-21
2.5e+11;0.000511558;1.65898e-20;-4.29828e-22
-2.5e+11;0.000531156;2.46064e-20;-1.90591e-20
-2e+11;0.000531156;1.74602e-20;4.48258e-21
-1.5e+11;0.000531156;3.10425e-20;7.86461e-20
-1e+11;0.000531156;2.01567e-20;2.90538e-21
-5e+10;0.000531156;-9.04683e-20;0.000265578
0;0.000531156;-1.38449e-20;0
5e+10;0.000531156;-9.04683e-20;-0.000265578
1e+11;0.000531156;2.01567e-20;-2.90538e-21
1.5e+11;0.000531156;3.10425e-20;-7.86461e-20
2e+11;0.000531156;1.74602e-20;-4.48258e-21
2.5e+11;0.000531156;2.46064e-20;1.90591e-20
-2.5e+11;0.000550754;1.94518e-20;-1.32486e-20
-2e+11;0.000550754;2.90715e-20;2.93281e-20
-1.5e+11;0.000550754;2.0388e-20;4.95647e-20
-1e+11;0.000550754;7.39549e-21;6.65089e-21
-5e+10;0.000550754;-8.35095e-20;0.000275377
0;0.000550754;7.87278e-21;0
5e+10;0.000550754;-8.35095e-20;-0.000275377
1e+11;0.000550754;7.39549e-21;-6.65089e-21
1.5e+11;0.000550754;2.0388e-20;-4.95647e-20
2e+11;0.000550754;2.90715e-20;-2.93281e-20
2.5e+11;0.000550754;1.94518e-20;1.32486e-20
-2.5e+11;0.000570352;2.2655e-20;-3.55189e-21
-2e+11;0.000570352;1.97743e-20;-1.71247e-20
-1.5e+11;0.000570352;2.16677e-20;4.98542e-20
-1e+11;0.000570352;2.03467e-20;1.88092e-21
-5e+10;0.000570352;-8.84088e-20;0.000285176
0;0.000570352;-5.21299e-21;0
5e+10;0.000570352;-8.84088e-20;-0.000285176
1e+11;0.000570352;2.03467e-20;-1.88092e-21
1.5e+11;0.000570352;2.16677e-20;-4.98542e-20
2e+11;0.000570352;1.97743e-20;1.71247e-20
2.5e+11;0.000570352;2.2655e-20;3.55189e-21
-2.5e+11;0.00058995;3.10414e-20;-8.93531e-21
-2e+11;0.00058995;3.81325e-20;1.74769e-20
-1.5e+11;0.00058995;9.88172e-21;5.46775e-20
-1e+11;0.00058995;1.18724e-20;1.70304e-20
-5e+10;0.00058995;-8.76968e-20;0.000294975
0;0.00058995;-8.06249e-21;0
5e+10;0.00058995;-8.76968e-20;-0.000294975
1e+11;0.00058995;1.18724e-20;-1.70304e-20
1.5e+11;0.00058995;9.88172e-21;-5.46775e-20
2e+11;0.00058995;3.81325e-20;-1.74769e-20
2.5e+11;0.00058995;3.10414e-20;8.93531e-21
-2.5e+11;0.000609548;1.43749e-20;-2.90715e-20
-2e+11;0.000609548;4.24846e-20;-5.05145e-21
-1.5e+11;0.000609548;2.66384e-20;5.21417e-20
-1e+11;0.000609548;6.36462e-21;6.20187e-20
-5e+10;0.000609548;-9.59174e-20;0.000304774
0;0.000609548;7.123e-21;0
5e+10;0.000609548;-9.59174e-20;-0.000304774
1e+11;0.000609548;6.36462e-21;-6.20187e-20
1.5e+11;0.000609548;2.66384e-20;-5.21417e-20
2e+11;0.000609548;4.24846e-20;5.05145e-21
2.5e+11;0.000609548;1.43749e-20;2.90715e-20
-2.5e+11;0.000629146;3.03296e-20;-1.98562e-20
-2e+11;0.000629146;2.6087e-20;2.36778e-20
-1.5e+11;0.000629146;2.96226e-20;2.72341e-20
-1e+11;0.000629146;1.55101e-20;-5.17125e-21
-5e+10;0.000629146;-1.10058e-19;0.000314573
0;0.000629146;7.18984e-21;0
5e+10;0.000629146;-1.10058e-19;-0.000314573
1e+11;0.000629146;1.55101e-20;5.17125e-21
1.5e+11;0.000629146;2.96226e-20;-2.72341e-20
2e+11;0.000629146;2.6087e-20;-2.36778e-20
2.5e+11;0.000629146;3.03296e-20;1.98562e-20
-2.5e+11;0.000648744;2.06082e-20;1.33744e-21
-2e+11;0.000648744;3.31048e-20;3.59948e-20
-1.5e+11;0.000648744;3.05222e-20;2.86508e-20
-1e+11;0.000648744;2.03921e-20;6.42767e-21
-5e+10;0.000648744;-1.0307e-19;0.000324372
0;0.000648744;-1.29689e-20;0
5e+10;0.000648744;-1.0307e-19;-0.000324372
1e+11;0.000648744;2.03921e-20;-6.42767e-21
1.5e+11;0.000648744;3.05222e-20;-2.86508e-20
2e+11;0.000648744;3.31048e-20;-3.59948e-20
2.5e+11;0.000648744;2.06082e-20;-1.33744e-21
-2.5e+11;0.000668342;2.08616e-20;-2.74774e-20
-2e+11;0.000668342;3.62011e-20;3.58941e-20
-1.5e+11;0.000668342;2.59932e-20;5.33492e-20
-1e+11;0.000668342;1.34052e-20;-7.36883e-21
-5e+10;0.000668342;-1.0422e-19;0.000334171
0;0.000668342;4.01667e-21;0
5e+10;0.000668342;-1.0422e-19;-0.000334171
1e+11;0.000668342;1.34052e-20;7.36883e-21
1.5e+11;0.000668342;2.59932e-20;-5.33492e-20
2e+11;0.000668342;3.62011e-20;-3.58941e-20
2.5e+11;0.000668342;2.08616e-20;2.74774e-20
-2.5e+11;0.00068794;2.84817e-20;-1.28736e-20
-2e+11;0.00068794;2.80356e-20;5.66776e-20
-1.5e+11;0.00068794;2.78126e-20;6.98994e-20
-1e+11;0.00068794;7.80127e-21;2.33737e-20
-5e+10;0.00068794;-1.11793e-19;0.00034397
0;0.00068794;2.45377e-20;0
